Day,Acrodictys,Agrocybe,Algae,Alternaria,Arthimium,Ascomycetes,Asperisporium,Basidiomycetes,Beltrania,Botrytis,Cercospora,Cladosporium,Curvularia,D. Conidia/Hyphae,Dendryphiella,Drechslera/Helmintho.,Dichotomophthora,Diplococcum,Epicoccum,Fusariella,Ganoderma,Helicomina,Microsporum,Misc. Fungus (Hyaline),Monodictys,Myxomycete/Smut,Nigrospora,Penicillium/Aspergillus,Periconia,Pithomyces,Powdery Mildew,Puccinia,Rust,Spegazinia,Stemphyllium,Tetrapola,Tilletia,Torula,Pestalotiopsis,Pseudocercospora,Polythrincium,Pleospora
121,0,0,93,107,0,8422.5,0,1678.5,0,0,427,2454.5,172,0,0,70.5,0,0,14,0,0,0,0,0,0,495,123,558.5,10,18,2,0,0,3,0,0,0,11,0,0,0,0
122,0,0,34.2,61,0,7473.8,0,1779.2,0,0,257.5,4489.2,109.8,0,0,39,0,0,6,0,0,0,0,0,0,334.8,106.5,474.5,10,16,16.5,0,7,1,0.5,0,0,12,0,0,0,0
123,0,0,13.3,68,0,3207.3,0,928.3,0,0,108.3,2373.7,149.7,0,0,55.7,0,0,3.3,0,0,0,0,0,0,291.7,111,163.3,10,6,2,0,6,0,0,2,0,2.7,0,0,0,0
124,0,0,7.3,42.3,0,2115,0,480.3,0,0,114,2465.7,157.3,0,0,67,0,0,4.7,0,0,0,0,0,0,267.3,97.7,129.3,14.7,6,0,0,2.7,4.7,0,2,0,0.7,0,0,0,0
125,0,0,36,51,0,2994,0,935.8,0,0,336.2,2784.2,165.8,0,0,61.2,0,0,3,0,0,0,0,0,0,393.5,79.5,121,30.2,12,2,0,4,2.5,0,4.5,0,7,0,0,0,0
126,0,0,9.5,88.2,0,2304.5,0,804.2,0,0,342.2,2470.5,157.2,0,0,36.2,0,0,5.5,0,0,0,0,0,0,473.5,72.2,113.8,29.5,10.5,1.5,0,3.5,4.5,0,1.5,0,4.5,0,0,0,0
127,0,0,9.5,15,0,2902,0,661,0,0,68.8,1492.5,66,0,0,21,0,0,2,0,0,0,0,0,0,142,42.2,190,6,4.5,1.5,0,3.5,1.5,0,2.5,0,6,0,0,0,0
128,0,0,6.5,25.5,0,5351.8,0,1160,0,0,128.2,4332,134.5,0,0,31.5,0,0,2.5,0,0,0,0,0,0,199.8,51,689.2,19.5,5,3.5,0,0,2.5,6.5,0.5,0,0.5,0,0,0,0
129,0,0,18.7,57,0,6315.7,0,888.3,0,0,256,1478.3,96,0,0,41,0,0,3.3,0,0,0,0,0,0,326.7,34.7,132.3,11.3,4.7,2,0,5.3,4,0,0.7,0,3.3,0,0,0,0
130,0,0,34.3,22,0,2663.3,0,719.3,0,0,58.3,1699.3,128.7,0,0,28.7,0,0,0,0,0,0,0,0,0,248.7,59.7,193,2,2,3.3,0,4,10,0.7,0,0,0,0,0,0,0
131,0,0,28.2,31,0,2641.5,0,940.2,0,0,103.2,1605.2,62,0,0,36.2,0,0,6,0,0,0,0,0,0,254.2,69.5,183.8,14,4,2,0,4.5,4,0,1.5,0,4,0,0,0,0
132,0,0,13.6,21.2,0,3752.4,0,597.8,0,0,69.6,1559.4,97.4,0,0,24.8,0,0,7.2,0,0,0,0,0,0,348.6,54,114.2,13.6,8,0,0,3.6,5.6,0.4,1.2,0,5.6,0,0,0,0
133,0,0,15.2,44,0,2624.4,0,588.6,0,0,261.8,2554.8,98.4,0,0,40.6,0,0,9.6,0,0,0,0,0,0,193.4,65.6,68.6,13.2,4,2,0,1.6,1.2,0.8,2.4,0,4.4,0,0,0,0
134,0,0,23.5,46,0,3231.2,0,536,0,0,68.5,2915.5,101.2,0,0,37,0,0,12.5,0,0,0,0,0,0,177.2,48.2,247.2,15,4,3,0,2.5,0.5,1,0.5,0,0,0,0,0,0
135,0,0,13,22,0,4526,0,445.8,0,0,75.8,2061.5,134.5,0,0,27,0,0,2,0,0,0,0,0,0,192,58.5,228.8,5.5,6,1.5,0,1.5,2,1,2,0,1,0,0,0,0
136,0,0,12,20.5,0,4307.8,0,458.2,0,0,63,1198.5,71.5,0,0,16.5,0,0,3,0,0,0,0,0,0,294.8,58,134,3,9.5,0,0,0.5,2.5,0,0,0,3,0,0,0,0
137,0,0,12,36.2,0,5166,0,621.5,0,0,88.5,1952.5,108.5,0,0,35.2,0,0,8,0,0,0,0,0,0,280.5,108.2,147.5,6,1,0,0,3.5,3.5,0,4,0,0.5,0,0,0,0
138,0,0,46.8,64.5,0,3399.5,0,608,0,0,83.2,2892,111.8,0,0,34.5,0,0,12,0,0,0,0,0,0,348.5,103.5,150.2,7,8.5,1.5,0,6,6,2.5,3,0,1.5,0,0,0,0
139,0,0,8.8,80.2,0,2944.8,0,591.6,0,0,143,3770,157.4,0,0,54.6,0,0,10.4,0,0,0,0,0,0,412.8,128.2,178.4,18.8,10,3.2,0,1.6,4,4.8,3.2,0,8,0,0,0,0
140,0,0,3.2,93,0,2139.4,0,520.8,0,0,153.8,5326.2,227.2,0,0,80.8,0,0,6.4,0,0,0,0,0,0,305.6,67.6,198.8,16.8,22.4,0,0,5.2,2.4,2.8,0.8,0,5.6,0,0,0,0
141,0,0,3,31,0,2570.2,0,206.5,0,0,67,2058,95,0,0,20,0,0,12,0,0,0,0,0,0,143,25.5,145.8,11,5,2.5,0,1.5,1.5,0.5,2,0,0.5,0,0,0,0
142,0,0,20,29.5,0,3260.2,0,575.2,0,0,95.8,3195.5,168.5,0,0,31.5,0,0,3,0,0,0,0,0,0,204,84.5,121.2,9,4.5,1.5,0,4,2.5,3.5,0,0,1.5,0,0,0,0
143,0,0,0,56.8,0,3768.8,0,902,0,0,293.8,3879,245.8,0,0,50.2,0,0,4.5,0,0,0,0,0,0,232,110,170.8,4.5,3.5,1.5,0,1,2,4,1.5,0,2.5,0,0,0,0
144,0,0,0,34.5,0,5538.2,0,1055.8,0,0,203.2,2632.2,68.5,0,0,29.5,0,0,4,0,0,0,0,0,0,230.8,83.5,142.5,3.5,4,5,0,2,0.5,1,0,0,2,0,0,0,0
145,0,0,15.3,42.3,0,1948.3,0,422,0,0,66.3,1169.7,46.3,0,0,20,0,0,7.3,0,0,0,0,0,0,106.3,49.3,63.3,4.7,2.7,1.3,0,4,1.3,0.7,2,0,1.3,0,0,0,0
146,0,0,20,53.2,0,2369.8,0,416,0,0,119,2878.5,112.2,0,0,29.5,0,0,14,0,0,0,0,0,0,261.5,120.8,142.2,8,7,1,0,9.5,1,0,1,0,3.5,0,0,0,0
147,0,0,21.6,28,0,1887.4,0,283,0,0,84,2390.2,109,0,0,24.4,0,0,4,0,0,0,0,0,0,159.8,51,138,20.8,6,0.8,0,5.2,0.8,2,0,0,4,0,0,0,0
148,0,0,4,40,0,1956.2,0,275.2,0,0,94.5,2526.2,134,0,0,25,0,0,3,0,0,0,0,0,0,135.5,6.5,133,22,3.5,1,0,10.5,2.5,1.5,1,0,2.5,0,0,0,0
149,0,0,12,33.8,0,4450.8,0,703.8,0,0,97.8,4533.5,122.8,0,0,16.2,0,0,6,0,0,0,0,0,0,139.5,92,386.5,17,2,0,0,0,0,0.5,2,0,0.5,0,0,0,0
150,0,0,18,63.8,0,3091.2,0,800,0,0,258.8,3891.2,167,0,0,37.5,0,0,7.5,0,0,0,0,0,0,109.5,64.5,134.2,18,8.5,1.5,0,0.5,1.5,2,1,0,2.5,0,0,0,0
151,0,0,25,84,0,3138.8,0,719.8,0,0,138.2,3244.5,147.2,0,0,38,0,0,17,0,0,0,0,0,0,177.8,47.5,208.2,29,5,0.5,0,1.5,2.5,4,1,0,0,0,0,0,0
152,0,0,16.5,70,0,4099.8,0,933.5,0,0,170,2826.8,78.2,0,0,16.8,0,0,18.8,0,0,0,0,0,0,249,52,231,31.5,7,0.5,0,3.5,4,5.5,1.5,0,22,0,0,0,0
153,0,0,25,77.5,0,1936,0,607.8,0,0,142.8,2957.5,101.2,0,0,41.2,0,0,14,0,0,0,0,0,0,361.2,46.8,101,19.5,2,1.5,0,7.5,4,4.5,1,0,10.5,0,0,0,0
154,0,0,17.2,78,0,3382.8,0,516.8,0,0,138,2372.6,90.2,0,0,30.6,0,0,16,0,0,0,0,0,0,163.8,37,173.6,27.2,11.2,0,0,1.6,1.6,4,0.8,0,3.6,0,0,0,0
155,0,0,4,120,0,1898,0,217.3,0,0,264.3,3239.3,137,0,0,39.3,0,0,38,0,0,0,0,0,0,122,18.7,20,46,6.7,1.3,0,11.3,0,6,0,0,7.3,0,0,0,0
156,0,0,22.4,38.6,0,2296.2,0,400,0,0,90,3346.6,74,0,0,16.8,0,0,8,0,0,0,0,0,0,206.8,29.8,167.2,11.6,6,1.6,0,2.4,0.4,2,1.6,0,2,0,0,0,0
157,0,0,27.6,25,0,2280.4,0,399.8,0,0,71.6,1996.2,70.6,0,0,20,0,0,7.2,0,0,0,0,0,0,128,32,216.8,7.2,3.2,0,0,3.6,2,1.6,0.4,0,2.8,0,0,0,0
158,0,0,2.5,70.5,0,2519.2,0,744.2,0,0,118.8,2033,122.8,0,0,45.5,0,0,16.5,0,0,0,0,0,0,249.2,54.2,148,5.5,6.5,0.5,0,3.5,3,2,0.5,0,8.5,0,0,0,0
159,0,0,17.5,118.5,0,2674.2,0,630.5,0,0,203,2547.5,92,0,0,32.5,0,0,70,0,0,0,0,0,0,367.8,103,80,31,9,0,0,2.5,6.5,2,3.5,0,9.5,0,0,0,0
160,0,0,37,134,0,2268,0,1172,0,0,228.8,1917.5,106.5,0,0,53.5,0,0,47.8,0,0,0,0,0,0,332.5,54.8,149.8,23.2,9,0,0,11,2,13.5,4,0,9.5,0,0,0,0
161,0,0,32.8,96.6,0,1966,0,399.2,0,0,323.8,2320.6,165.4,0,0,38.2,0,0,23.2,0,0,0,0,0,0,212.6,34.4,67,31.6,7.6,0,0,206,1.6,2.4,1.6,0,7.6,0,0,0,0
162,0,0,22.5,43.5,0,1833.2,0,488,0,0,101,3362.2,104.5,0,0,53.2,0,0,28,0,0,0,0,0,0,334.5,52,130.5,23.5,15,3.5,0,9,3,8.5,2.5,0,4,0,0,0,0
163,0,0,22.4,31.2,0,2408.4,0,837,0,0,85.8,1831,70.6,0,0,16.8,0,0,5.2,0,0,0,0,0,0,103.2,19.2,172.4,22.4,6.4,0,0,7.6,4.8,7.2,2,0,4,0,0,0,0
164,0,0,15.6,79,0,2349,0,461,0,0,136,1788.2,58.2,0,0,26,0,0,8,0,0,0,0,0,0,174.2,20,168.4,20,3.2,1.6,0,3.6,0.4,5.6,1.2,0,4,0,0,0,0
165,0,0,9,98.2,0,2977.2,0,755,0,0,159,2138.5,107.2,0,0,36.8,0,0,15,0,0,0,0,0,0,260.2,45.2,163.8,17,2,1,0,2,1,2.5,2,0,2.5,0,0,0,0
166,0,0,45.5,62.5,0,2588,0,750.2,0,0,169.2,10225.2,37.8,0,0,17,0,0,3.5,0,0,0,0,0,0,215.2,27.5,129,13.5,2,0.5,0,9.5,2,7.5,1.5,0,0,0,0,0,0
167,0,0,22.2,46.6,0,3905.4,0,978.6,0,0,115.8,3990.6,75,0,0,34.4,0,0,9.6,0,0,0,0,0,0,181.4,24,81,15.6,5.6,5.6,0,6.8,0.8,4.4,0.8,0,5.2,0,0,0,0
168,0,0,5.6,41.2,0,2178.8,0,392,0,0,74,1517.2,60.6,0,0,17.6,0,0,15.6,0,0,0,0,0,0,157.6,15.6,198,10,5.6,4,0,7.6,1.6,0.8,0,0,12.4,0,0,0,2.4
169,0,0,13.5,69.2,0,2042.5,0,508.2,0,0,140.8,3126,65.5,0,0,16,0,0,14.5,0,0,0,0,0,0,292.5,20.5,123.2,31.5,4.5,1,0,6,1,22,2,0,7.5,0,0,0,0
170,0,0,23,12,0,1495,0,343.2,0,0,55,932.5,66.2,0,0,12,0,0,2,0,0,0,0,0,0,122.5,6.5,124,14.5,5.5,0,0,2.5,1,0.5,1.5,0,0,0,0,0,0
171,0,0,12.8,20.4,0,2347.2,0,474.8,0,0,67,887.2,38.4,0,0,10,0,0,3.6,0,0,0,0,0,0,115,25.2,67.6,3.6,5.2,0.4,0,1.2,0,3.2,2,0,1.2,0,0,0,0
172,0,0,31.8,87.8,0,3240.2,0,792.8,0,0,235,3039.2,59,0,0,27,0,0,40.5,0,0,0,0,0,0,170,47.2,130,21.5,5.5,0,0,3,1,5.5,2,0,8,0,0,0,0
173,0,0,12.4,100,0,3310.6,0,673,0,0,79.6,3470.6,31.2,0,0,36,0,0,39.2,0,0,0,0,0,0,87,22,33.2,6.4,8,0.8,0,8,0.8,0,1.6,0,6.8,0,0,0,0
174,0,0,16.4,24.2,0,1622.4,0,651.6,0,0,74.6,2090.2,34.4,0,0,19.2,0,0,6.8,0,0,0,0,0,0,154,21,110,1.2,5.6,0.8,0,5.6,2.4,4,0.4,0,1.6,0,0,0,0
175,0,0,12.4,15.6,0,2458.6,0,882,0,0,56.8,1535.6,31.6,0,0,8.8,0,0,2.4,0,0,0,0,0,0,54.6,4.8,45.2,12.4,2,0,0,1.6,0.4,0,0.4,0,9,0,0,0,2.4
176,0,0,46,29.8,0,1396,0,387,0,0,113.5,1621,51.8,0,0,12,0,0,7.5,0,0,0,0,0,0,169.5,9,97.2,37,6.5,0,0,2,2,7,2.5,0,4,0,0,0,0
177,0,0,18,29.2,0,2296,0,648,0,0,49.6,1469,46.2,0,0,14.8,0,0,8,0,0,0,0,0,0,129,3.2,59.4,12.6,6,0,0,8.8,1.2,0,2.4,0,8.4,0,0,0,0
178,0,0,31.4,27.4,0,2369.6,0,531.8,0,0,51.8,2214.2,46.8,0,0,15.2,0,0,4,0,0,0,0,0,0,120,11.6,103.4,14.4,2,1.2,0,2.4,2,0,1.6,0,2.8,0,0,0,0
179,0,0,7.3,22.7,0,3466.7,0,1079,0,0,55.3,1128.3,15.3,0,0,7.3,0,0,8,0,0,0,0,0,0,65.3,6.7,43.3,23.3,1.3,1.3,0,0.7,1.3,2.7,0,0,4,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,26,73.3,0,2082.7,0,765.7,0,0,76,1677,85,0,0,26,0,0,10.7,0,0,0,0,0,0,356.7,34.7,66.3,26.7,0.7,0.7,0,7.3,2.7,0,7.3,0,6.7,0,0,0,0
182,0,0,17.3,49.3,0,2740.3,0,377.3,0,0,49.7,1550.7,120.3,0,0,18.7,0,0,14.7,0,0,0,0,0,0,238,11.3,298.7,4,6.7,2,0,3.3,2.7,2,1.3,0,5.3,0,0,0,0
183,0,0,28.5,59,0,3521.5,0,801,0,0,46.5,2054.5,47.8,0,0,19.5,0,0,10.5,0,0,0,0,0,0,178.5,10.5,88.8,19.5,6,0,0,4,4,4.5,2.5,0,3,0,0,0,0
184,0,0,24,25.5,0,4695.2,0,901.2,0,0,53.5,2555,45,0,0,15.5,0,0,1.5,0,0,0,0,0,0,281,10,71.5,12.5,9,0,0,11.5,1.5,4.5,1,0,3.5,0,0,0,0
185,0,0,9,9,0,3238,0,983.2,0,0,46.2,1087.5,34.5,0,0,20.5,0,0,1.5,0,0,0,0,0,0,213,12,107.8,4.5,4.5,2,0,2,0.5,0,0,0,1.5,0,0,0,0
186,0,0,14,24.5,0,1892.8,0,566.5,0,0,28,1248.5,20.5,0,0,12.5,0,0,8,0,0,0,0,0,0,127.8,17,26,1.5,2,1,0,3,1.5,0.5,1.5,0,4,0,0,0,0
187,0,0,6,43.8,0,2273.2,0,1015.5,0,0,64.2,1325.8,37.5,0,0,23.5,0,0,11,0,0,0,0,0,0,166.5,16.5,26,8.5,5,2,0,4.5,0.5,0,1,0,5.5,0,0,0,0
188,0,0,9.6,17.2,0,2433.2,0,832.6,0,0,26.8,1555.2,28.4,0,0,12.4,0,0,8.4,0,0,0,0,0,0,226.8,10.8,80.8,2,3.6,0.8,0,3.6,1.2,0,2.4,0,4.8,0,0,0,0
189,0,0,19.2,41.2,0,2368.4,0,636,0,0,34.8,1311.4,51.8,0,0,20.4,0,0,7.2,0,0,0,0,0,0,149.2,15.6,81.8,4.4,2.4,0.4,0,5.2,0.4,0.4,0.8,0,8,0,0,0,0
190,0,0,6.5,11,0,2671.5,0,418.2,0,0,19,1002,54.2,0,0,23,0,0,5,0,0,0,0,0,0,166.8,4,161.5,3.5,3,1,0,1.5,0,1,1,0,1.5,0,0,0,0
191,0,0,18,36,0,3046,0,730.5,0,0,40.2,1980.8,41.5,0,0,27.5,0,0,9.5,0,0,0,0,0,0,249.8,8,203,8,5,1,0,14.5,2,0,3,0,1,0,0,0,0
192,0,0,27.2,19.5,0,4228.5,0,943,0,0,32,1358.5,66,0,0,19.5,0,0,2,0,0,0,0,0,0,144.8,16.5,106,5,4,4,0,14.5,0,0,0,0,4.5,0,0,0,0
193,0,0,5,16.5,0,2465.5,0,515.5,0,0,31.5,1215,43,0,0,17,0,0,5.5,0,0,0,0,0,0,125.5,6,102.5,5,2,2.5,0,11,0,1,1.5,0,1,0,0,0,0
194,0,0,23.8,16.5,0,2515,0,614.8,0,0,42.2,1031.2,26.2,0,0,15,0,0,7,0,0,0,0,0,0,123.5,7,16,5,1.5,3.5,0,9.5,1.5,0,1,0,2.5,0,0,0,0
195,0,0,33.6,21.4,0,3349.6,0,736.2,0,0,42,1207.2,18.8,0,0,18,0,0,30.2,0,0,0,0,0,0,192.6,5.6,103.4,14.8,2.4,3.2,0,16.4,0,0,0,0,3.2,0,0,0,0
196,0,0,48.8,22.4,0,2607.8,0,472.6,0,0,30.4,1240.2,21.6,0,0,12.8,0,0,10.4,0,0,0,0,0,0,139.8,2,70.4,10,6,0.8,0,2.4,0,0,0,0,1.2,0,0,0,0
197,0,0,13.3,65.7,0,841.7,0,460.7,0,0,32,2059,20,0,0,15.3,0,0,25.3,0,0,0,0,0,0,322,9.3,0,13.3,2.7,0,0,16.7,0.7,1.3,3.3,0,13.3,0,0,0,0
198,0,0,0,44.5,0,3239.2,0,627.2,0,0,51.2,2203.8,48,0,0,28.5,0,0,11,0,0,0,0,0,0,153.2,6.5,91.8,9.2,2,1.5,0,10,0.5,0,1.5,0,7,0,0,0,0
199,0,0,0,28.5,0,3552,0,550.5,0,0,27.5,1289,33.5,0,0,13.5,0,0,6,0,0,0,0,0,0,234.2,4.5,164.2,9.5,1.5,1.5,0,1,0,0,0.5,0,2,0,0,0,0
200,0,0,12,30,0,2900.2,0,454.5,0,0,35,1415.8,21,0,0,22.5,0,0,22.5,0,0,0,0,0,0,159.5,21.5,145.5,12,0,2,0,6,2,0,2.5,0,8,0,0,0,0
201,0,0,7.5,68.2,0,1529.8,0,599,0,0,60.2,1754.2,29.5,0,0,22,0,0,23,0,0,0,0,0,0,179,21,83.8,20,2,1.5,0,11.5,0.5,1,1.5,0,1.5,0,0,0,0
202,0,0,15.2,95.2,0,1569,0,648.8,0,0,36.8,2072.6,23.2,0,0,17.2,0,0,14.8,0,0,0,0,0,0,186.8,8.8,18,5.2,2,4.8,0,8,1.2,0,1.6,0,4.8,0,0,0,0
203,0,0,4,265.4,0,1827.8,0,641,0,0,71.2,2683.8,27.6,0,0,47.4,0,0,20.4,0,0,0,0,0,0,189.4,3.6,33.8,5.2,3.2,0.8,0,10.4,0.4,0,1.2,0,4.8,0,0,0,0
204,0,0,4,60.2,0,1846,0,548.5,0,0,37,1945.2,15,0,0,21,0,0,20.5,0,0,0,0,0,0,219,5.5,145.5,8.5,6,3,0,8,2.5,0,0.5,0,7,0,0,0,0
205,0,0,16,93.8,0,1890.5,0,816.8,0,0,62.8,3069,21,0,0,23.5,0,0,18.5,0,0,0,0,0,0,306,8.5,281,11,10,5,0,7.5,3.5,0,2.5,0,18.5,0,0,0,0
206,0,0,11.5,42.5,0,3571.8,0,582.2,0,0,30.5,1672.8,14.5,0,0,16,0,0,9.5,0,0,0,0,0,0,150,3,128.5,7,2,1.5,0,5,1,0,3.5,0,4,0,0,0,0
207,0,0,6,51.8,0,2944.5,0,679.5,0,0,32.5,2368.8,10,0,0,18,0,0,20,0,0,0,0,0,0,213,10,119,6,5,1.5,0,8,1.5,0.5,0.5,0,1.5,0,0,0,0
208,0,0,0,54.7,0,1866.3,0,513.7,0,0,22.7,2868.3,6,0,0,10.7,0,0,14.7,0,0,0,0,0,0,93.3,4.7,21.3,3.3,0,0,0,6.7,0,0,0,0,2.7,0,0,0,0
209,0,0,11.2,69.6,0,2248,0,482.4,0,0,40.8,2413.8,19.2,0,0,39,0,0,18.4,0,0,0,0,0,0,174.2,2.4,28,6.4,1.6,0.4,0,10.8,0.8,0.4,2.4,0,0.8,0,0,0,0
210,0,0,9.6,96.6,0,3566,0,574.4,0,0,38.2,2191.8,13.2,0,0,32,0,0,6.8,0,0,0,0,0,0,187.6,2.4,70.8,3.2,2.8,2,0,5.2,2,0,1.6,0,7.2,0,0,0,0
211,0,0,43,54.3,0,2052,0,355,0,0,18,960.7,9.3,0,0,32,0,0,9.3,0,0,0,0,0,0,289,6.7,22,7.3,0,1.3,0,10.7,1.3,10.7,0.7,0,4,0,0,0,0
212,0,0,4,87,0,1791.8,0,656.5,0,0,42.2,2281.2,19,0,0,33.5,0,0,6.5,0,0,0,0,0,0,126,6,61.8,5.5,5,1,0,3,0,0,0.5,0,6.5,0,0,0,0
213,0,0,4.5,77,0,4008.5,0,836,0,0,69.2,3263.5,8,0,0,19.5,0,0,9,0,0,0,0,0,0,211.8,5.5,115.2,10,4.5,2.5,0,6.5,0.5,1,1.5,0,6.5,0,0,0,0
214,0,0,5.3,61.7,0,2475.7,0,789,0,0,99,3970.7,22,0,0,17.3,0,0,18,0,0,0,0,0,0,202,3.3,30,7.3,3.3,1.3,0,4,0.7,3.3,0,0,2,0,0,0,0
215,0,0,25.8,92.8,0,2974.5,0,565.5,0,0,74.2,3947,8.5,0,0,29.5,0,0,24,0,0,0,0,0,0,215.2,4,109.8,11.5,4.5,3.5,0,3.5,1,14,1,0,7,0,0,0,0
216,0,0,6,80.5,0,2406,0,405.5,0,0,50,3319,16.5,0,0,26,0,0,40,0,0,0,0,0,0,205,3,125,14,2,0,0,8,0.5,8,1.5,0,7,0,0,0,0
217,0,0,33.3,61.3,0,3616.3,0,723.7,0,0,54.7,1843,14.7,0,0,28.7,0,0,76,0,0,0,0,0,0,499.7,1.3,137.3,31.3,5.3,2.7,0,6.7,0,19.3,0,0,6,0,0,0,0
218,0,0,12,33,0,2131,0,634,0,0,99,1635,8,0,0,14,0,0,11,0,0,0,0,0,0,93,0,126,45,0,0,0,3,0,0,0,0,4,0,0,0,0
219,0,0,12,123,0,1092,0,435.5,0,0,168,2283.5,10,0,0,33,0,0,20,0,0,0,0,0,0,118,10,56,20,3,0,0,9,0,0,1,0,4,0,0,0,0
220,0,0,43.3,115.7,0,2417.3,0,717,0,0,95.3,4227.7,12,0,0,46.7,0,0,34.7,0,0,0,0,0,0,102.7,10,171.7,22.7,4,0,0,10,1.3,0,1.3,0,0,0,0,0,0
221,0,0,28,83.2,0,2969.8,0,569.2,0,0,111.2,4127,11,0,0,23,0,0,17,0,0,0,0,0,0,233.2,7.5,113.8,14.5,4,12,0,4,0.5,11,0,0,0,0,0,0,0
222,0,0,41.2,80.8,0,2670,0,276.2,0,0,49,2875.8,9.5,0,0,12.5,0,0,17.5,0,0,0,0,0,0,114.8,6.5,37.5,9,2,0,0,6.5,0,4,0,0,1.5,0,0,0,0
223,0,0,5,43.5,0,2944.8,0,308.5,0,0,32.5,2277.8,6,0,0,11.5,0,0,12,0,0,0,0,0,0,145.5,1,7.5,6.5,1,2.5,0,6,0.5,6.5,0,0,2.5,0,0,0,0
224,0,0,19,47.4,0,3904.6,0,644.8,0,0,82.2,2156.4,6,0,0,20.4,0,0,40.6,0,0,0,0,0,0,190,1.2,445.8,14.4,3.2,4,0,28.8,4,9.2,0.4,0,8,0,0,0,0
225,0,0,36.2,67,0,2011,0,491,0,0,84.2,3202.2,9.5,0,0,11,0,0,55.5,0,0,0,0,0,0,231.2,0.5,375.5,46,1,1,0,35,2,5.5,0.5,0,15,0,0,0,0
226,0,0,6,58,0,1775.8,0,542,0,0,69.8,2241.2,5.5,0,0,14.5,0,0,20.2,0,0,0,0,0,0,40.5,3.5,53.5,8,1,1.5,0,13,0.5,11,0,0,5,0,0,0,0
227,0,0,18.5,48.8,0,3473.2,0,357,0,0,85,2736.5,6,0,0,8,0,0,28.8,0,0,0,0,0,0,99.5,4.5,117,9,0,0,0,6.5,1.5,2.5,1,0,6.5,0,0,0,0
228,0,0,37,70.8,0,2202.5,0,323.8,0,0,48.2,2880.2,11.5,0,0,20.5,0,0,41.8,0,0,0,0,0,0,305,1,28,12.5,1,5.5,0,17.5,1,9,1,0,7.5,0,0,0,0
229,0,0,29.2,100.2,0,1421,0,206,0,0,66,3785.2,11.5,0,0,16.5,0,0,40.5,0,0,0,0,0,0,257.5,2,38.2,11,5,2,0,15.8,2,11,1.5,0,3,0,0,0,0
230,0,0,25.8,42,0,1070.8,0,181,0,0,40.4,2831,4,0,0,8.8,0,0,18.8,0,0,0,0,0,0,100.6,2.4,27.8,4.4,4.4,2.4,0,15.2,0.8,9.2,0,0,1.2,0,0,0,0
231,0,0,27,59.2,0,2194,0,441.6,0,0,95,2468.2,6.4,0,0,14.4,0,0,27.8,0,0,0,0,0,0,165,1.2,101,16.6,1.2,3.2,0,11.2,1.2,21,0,0,0.8,0,0,0,0
232,0,0,35.2,89.8,0,1762.5,0,788.8,0,0,71,2061.5,7.5,0,0,11,0,0,28.5,0,0,0,0,0,0,182,1,145.5,14,0.5,3,0,12.5,1,7,0,0,3,0,0,0,0
233,0,0,12.5,44,0,2661.5,0,339.5,0,0,61.5,2546.5,7,0,0,17,0,0,48,0,0,0,0,0,0,158,4.5,158.2,12,0,1.5,0,28.5,2.5,9.5,0,0,4.5,0,0,0,0
234,0,0,51.5,31.5,0,1652.2,0,254,0,0,27,1873.2,5,0,0,6,0,0,15.5,0,0,0,0,0,0,125.2,3,82,4,0,2,0,9,1.5,1,0.5,0,3.5,0,0,0,0
235,0,0,21,58,0,2031.8,0,251,0,0,58,2061.2,9.5,0,0,13.5,0,0,24,0,0,0,0,0,0,132.8,2,95,3,1.5,0.5,0,22,1,0,2.5,0,4,0,0,0,0
236,0,0,27.5,60.5,0,1278,0,181.2,0,0,37,2168.2,12.5,0,0,6.5,0,0,24.5,0,0,0,0,0,0,156.8,5.5,33.5,12.5,3,1.5,0,11,0.5,15.5,1,0,4.5,0,0,0,0
237,0,0,48.8,88,0,2027.2,0,203.6,0,0,50,2869,4,0,0,8.4,0,0,35.4,0,0,0,0,0,0,276.6,2.4,78.4,16.4,3.6,0.4,0,26,0.4,2.8,0.8,0,7.2,0,0,0,0
238,0,0,36.2,109,0,1169.6,0,309.6,0,0,80.8,2980.2,9.2,0,0,17,0,0,46.2,0,0,0,0,0,0,204.8,2.4,31.2,9.6,9.6,0,0,15.2,0.8,8.8,2,0,10,0,0,0,0
239,0,0,120.5,117.8,0,1630,0,542.5,0,0,106.2,2770.5,22.5,0,0,24.5,0,0,55.5,0,0,0,0,0,0,365.5,1,148.2,1,2,0,0,45.5,1,44,0,0,16.5,0,0,0,0
240,0,0,85,42,0,1977.5,0,748,0,0,43.5,2658.8,4,0,0,17,0,0,28.5,0,0,0,0,0,0,118.8,1,51.8,3,1,0,0,15.5,10,2,0,0,13,0,0,0,0
241,0,0,47.5,26.5,0,2786.2,0,615,0,0,46.5,1890,9,0,0,9,0,0,6.5,0,0,0,0,0,0,105.8,3,64,2,1,2,0,18.5,0.5,0,0.5,0.5,5.5,0,0,0,0
