FullDate, Year, Month, DATE, Acrodictys, Agrocybe, Algae, Alternaria, Arthimium, Ascomycetes, Asperisporium, Basidiomycetes, Beltrania, Botrytis, Cercospora, Cladosporium, Curvularia, *D. conidia/hyphae, Dendryphiella, Drechslera/Helmintho., Dichotomophthora, Diplococcum, Epicoccum, Fusariella, Ganoderma, Helicomina, Microsporum, Misc. Fungus (Hyaline), Monodictys, Myxomycete/Smut, Nigrospora, Penicillium/Aspergillus, Periconia, Pestalotiopsis, Pithomyces, Powdery Mildew, Pseudocercospora, Puccinia, Rust, Spegazinia, Stemphyllium, Tetrapola, Tilletia, Torula
10/15/2014,2014,10,15, NA, NA,56,287, NA,1273, NA,581, NA, NA,56,1500,70, NA, NA,54, NA, NA,22, NA, NA, NA, NA, NA, NA,283,44,58,14, NA,10,4, NA, NA,50,10, NA,4, NA,16
10/16/2014,2014,10,16, NA, NA,40,176, NA,1061, NA,370, NA, NA,26,1709,42, NA, NA,52, NA, NA,4, NA, NA, NA, NA, NA, NA,210,48, NA, NA, NA, NA, NA, NA, NA,12,10,2,6, NA,6
10/17/2014,2014,10,17, NA, NA, NA,46, NA,787, NA,265, NA, NA,50,1968,44, NA, NA,40, NA, NA,4, NA, NA, NA, NA, NA, NA,184,20,99,8, NA,14, NA, NA, NA,16,2, NA, NA, NA,12
10/20/2014,2014,10,20, NA, NA, NA,117, NA,451, NA,692, NA, NA,433,2073,87, NA, NA,44, NA, NA,12, NA, NA, NA, NA, NA, NA,234,50, NA,95, NA,12, NA, NA, NA,22,12,6,4, NA,18
10/21/2014,2014,10,21, NA, NA, NA,44, NA,929, NA,771, NA, NA,26,1142,74, NA, NA,32, NA, NA,2, NA, NA, NA, NA, NA, NA,267,22, NA,32, NA, NA, NA, NA, NA,14,4, NA,6, NA,18
10/22/2014,2014,10,22, NA, NA,24,87, NA,700, NA,471, NA, NA,48,1255,56, NA, NA,28, NA, NA,2, NA, NA, NA, NA, NA, NA,202,28, NA,34, NA,10, NA, NA, NA,20,6, NA, NA, NA,20
10/23/2014,2014,10,23, NA, NA, NA,83, NA,605, NA,297, NA, NA,164,1061,95, NA, NA,32, NA, NA,8, NA, NA, NA, NA, NA, NA,309,34, NA,95, NA,10,4, NA, NA,20,4,2, NA, NA,42
10/27/2014,2014,10,27, NA, NA,16,18, NA,720, NA,340, NA, NA,36,1741,22, NA, NA,12, NA, NA, NA, NA, NA, NA, NA, NA, NA,157,12,113,16, NA,6,4, NA, NA,16,2,2, NA, NA,10
10/28/2014,2014,10,28, NA, NA, NA,52, NA,781, NA,413, NA, NA,66,1881,97, NA, NA,32, NA, NA,4, NA, NA, NA, NA, NA, NA,216,24,91,22, NA,4,2, NA, NA,44,6,4, NA, NA,4
10/29/2014,2014,10,29, NA, NA, NA,10, NA,601, NA,285, NA, NA,50,1561,36, NA, NA,12, NA, NA,2, NA, NA, NA, NA, NA, NA,127,16,36,10, NA,2, NA, NA, NA,24,14, NA, NA, NA,10
10/30/2014,2014,10,30, NA, NA,8,123, NA,1603, NA,955, NA, NA,133,2008,89, NA, NA,52, NA, NA,2, NA, NA, NA, NA, NA, NA,210,48, NA,40, NA,4, NA, NA, NA,48,6, NA,2, NA,14
10/31/2014,2014,10,31, NA, NA, NA,153, NA,1105, NA,664, NA, NA,44,2087,70, NA, NA,36, NA, NA,4, NA, NA, NA, NA, NA, NA,190,26, NA,38, NA,6,4, NA, NA,30,8, NA,4, NA,4
9/2/2014,2014,9,2, NA, NA,8,30, NA,814, NA,797, NA, NA,133,1927,113, NA, NA,62, NA, NA, NA, NA, NA, NA, NA, NA, NA,180,52, NA,18, NA,4, NA, NA, NA,4,2, NA, NA, NA, NA
9/3/2014,2014,9,3, NA, NA,12,18, NA,771, NA,826, NA, NA,119,1644,228, NA, NA,89, NA, NA, NA, NA, NA, NA, NA, NA, NA,550,70,273,4, NA,10, NA, NA, NA,4,6, NA,4, NA,2
9/4/2014,2014,9,4, NA, NA, NA,6, NA,1271, NA,785, NA, NA,22,986,133, NA, NA,78, NA, NA, NA, NA, NA, NA, NA, NA, NA,421,18,90,8, NA,16,2, NA, NA,2,6, NA,2, NA,2
9/5/2014,2014,9,5, NA, NA,20,30, NA,1055, NA,1010, NA, NA,66,656,236, NA, NA,76, NA, NA,2, NA, NA, NA, NA, NA, NA,619,58,58,10, NA,12,4, NA, NA,12,10, NA, NA, NA,6
9/8/2014,2014,9,8, NA, NA, NA,16, NA,4258, NA,575, NA, NA,30,777,60, NA, NA,28, NA, NA, NA, NA, NA, NA, NA, NA, NA,145,26, NA,16, NA,6, NA, NA, NA, NA, NA, NA, NA, NA,8
9/9/2014,2014,9,9, NA, NA, NA,105, NA,1472, NA,528, NA, NA,149,3711,184, NA, NA,157, NA, NA, NA, NA, NA, NA, NA, NA, NA,192,38,72,80, NA,12, NA, NA, NA,2, NA,2, NA, NA,8
9/10/2014,2014,9,10, NA, NA, NA,97, NA,1413, NA,818, NA, NA,176,3235,111, NA, NA,38, NA, NA, NA, NA, NA, NA, NA, NA, NA,457,56,115,52, NA,2,2, NA, NA, NA,4,4, NA, NA,12
9/11/2014,2014,9,11, NA, NA, NA,46, NA,1176, NA,838, NA, NA,127,2496,113, NA, NA,34, NA, NA,2, NA, NA, NA, NA, NA, NA,303,54,72,18, NA,4, NA, NA, NA,6,4, NA,10, NA,8
9/12/2014,2014,9,12, NA, NA, NA,14, NA,939, NA,915, NA, NA,58,348,113, NA, NA,30, NA, NA,4, NA, NA, NA, NA, NA, NA,291,44, NA,22, NA,6, NA, NA, NA,10,8, NA,4, NA,8
9/15/2014,2014,9,15, NA, NA, NA,8, NA,1455, NA,1217, NA, NA,28,483,24, NA, NA,12, NA, NA, NA, NA, NA, NA, NA, NA, NA,107,8, NA,14, NA, NA, NA, NA, NA, NA,6, NA, NA, NA, NA
9/16/2014,2014,9,16, NA, NA, NA,8, NA,1251, NA,805, NA, NA,109,1658,366, NA, NA,88, NA, NA, NA, NA, NA, NA, NA, NA, NA,538,131,70,8, NA,8,2, NA, NA,6,28,4,12, NA,18
9/17/2014,2014,9,17, NA, NA, NA,4, NA,6328, NA,573, NA, NA,16,257,40, NA, NA,6, NA, NA, NA, NA, NA, NA, NA, NA, NA,220,22, NA,8, NA,2,2, NA, NA,10,4, NA, NA, NA, NA
9/18/2014,2014,9,18, NA, NA, NA,22, NA,5712, NA,301, NA, NA,24,781,40, NA, NA,26, NA, NA, NA, NA, NA, NA, NA, NA, NA,50,6, NA,8, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9/19/2014,2014,9,19, NA, NA, NA,4, NA,6038, NA,818, NA, NA,14,990,28, NA, NA,10, NA, NA, NA, NA, NA, NA, NA, NA, NA,46,4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9/22/2014,2014,9,22, NA, NA, NA,30, NA,1611, NA,1379, NA, NA,101,1798,149, NA, NA,26, NA, NA, NA, NA, NA, NA, NA, NA, NA,259,40,816,16, NA,8,4, NA, NA, NA,4, NA,4, NA,12
9/23/2014,2014,9,23, NA, NA,12,190, NA,603, NA,635, NA, NA,486,2006,176, NA, NA,76, NA, NA,50, NA, NA, NA, NA, NA, NA,427,72,307,105, NA,30,14, NA, NA,10,12, NA, NA, NA,42
9/24/2014,2014,9,24, NA, NA,8,151, NA,585, NA,415, NA, NA,143,2122,90, NA, NA,28, NA, NA,40, NA, NA, NA, NA, NA, NA,216,54,42,97, NA,18, NA, NA, NA,8,6, NA,6, NA,44
9/25/2014,2014,9,25, NA, NA,8,36, NA,615, NA,579, NA, NA,188,1779,113, NA, NA,42, NA, NA, NA, NA, NA, NA, NA, NA, NA,372,40,76,91, NA,8,4, NA, NA,10,14,2,4, NA,34
9/26/2014,2014,9,26, NA, NA,12,18, NA,1022, NA,769, NA, NA,135,1838,74, NA, NA,26, NA, NA,4, NA, NA, NA, NA, NA, NA,376,30,95,18, NA,6, NA, NA, NA,14,14, NA,8, NA,18
9/29/2014,2014,9,29, NA, NA, NA,10, NA,844, NA,603, NA, NA,60,1735,48, NA, NA,14, NA, NA, NA, NA, NA, NA, NA, NA, NA,232,22,40,14, NA, NA,4, NA, NA, NA,6, NA, NA, NA, NA
9/30/2014,2014,9,30, NA, NA, NA,4, NA,583, NA,787, NA, NA,80,1931,162, NA, NA,60, NA, NA, NA, NA, NA, NA, NA, NA, NA,373,44,125,20, NA, NA,4, NA, NA,4,8, NA,4, NA,16
8/1/2014,2014,8,1, NA, NA, NA,98, NA,1610, NA,334, NA, NA,186,1762,90, NA, NA,10, NA, NA,12, NA, NA, NA, NA, NA, NA,304,6,92,48, NA,4, NA, NA, NA, NA, NA,18, NA, NA,12
8/4/2014,2014,8,4, NA, NA,36,12, NA,3110, NA,542, NA, NA,96,2934,16, NA, NA,8, NA, NA,20, NA, NA, NA, NA, NA, NA,256,12,326,22, NA, NA, NA, NA, NA, NA, NA,2, NA, NA, NA
8/5/2014,2014,8,5, NA, NA,8,24, NA,1448, NA,300, NA, NA,160,2398,158, NA, NA,28, NA, NA, NA, NA, NA, NA, NA, NA, NA,220,8, NA,4, NA,6, NA, NA, NA,22, NA,2, NA, NA,4
8/6/2014,2014,8,6, NA, NA,24,4, NA,1183, NA,421, NA, NA,70,1306,44, NA, NA,16, NA, NA, NA, NA, NA, NA, NA, NA, NA,158,12,106,60, NA,2,4, NA, NA,6, NA, NA, NA, NA,4
8/7/2014,2014,8,7, NA, NA,44,28, NA,1378, NA,410, NA, NA,140,2162,32, NA, NA,4, NA, NA,6, NA, NA, NA, NA, NA, NA,130,2,82,10, NA, NA, NA, NA, NA,6, NA, NA, NA, NA, NA
8/11/2014,2014,8,11, NA, NA, NA,42, NA,1334, NA,680, NA, NA,170,1938,50, NA, NA,12, NA, NA,2, NA, NA, NA, NA, NA, NA,108,4,96,36, NA,2,2, NA, NA,12, NA,14, NA, NA,4
8/12/2014,2014,8,12, NA, NA,2,76, NA,3633, NA,198, NA, NA,188,2657,113, NA, NA,36, NA, NA,32, NA, NA, NA, NA, NA, NA,194,16,348,44, NA,4, NA, NA, NA,6, NA,2,2, NA,2
8/13/2014,2014,8,13, NA, NA, NA,280, NA,3718, NA,838, NA, NA,254,8444,152, NA, NA,36, NA, NA,18, NA, NA, NA, NA, NA, NA,430,10,210,60, NA,72, NA, NA, NA,12, NA,12, NA, NA,24
8/14/2014,2014,8,14, NA, NA, NA,152, NA,1778, NA,380, NA, NA,148,6686,40, NA, NA,14, NA, NA,24, NA, NA, NA, NA, NA, NA,636,2,68,52, NA,28, NA, NA, NA,4,10,6, NA, NA,12
8/15/2014,2014,8,15, NA, NA,32,116, NA,2128, NA,412, NA, NA,92,5774,30, NA, NA,8, NA, NA,10, NA, NA, NA, NA, NA, NA,284,6,144, NA, NA,6, NA, NA, NA,4,6,2, NA, NA,6
8/18/2014,2014,8,18, NA, NA,24,26, NA,1628, NA,268, NA, NA,100,1044,26, NA, NA,10, NA, NA,4, NA, NA, NA, NA, NA, NA,210,6, NA,18, NA,2,2, NA, NA,2,2, NA,4, NA,4
8/19/2014,2014,8,19, NA, NA,86,50, NA,1268, NA,150, NA, NA,66,1804,84, NA, NA,36, NA, NA,28, NA, NA, NA, NA, NA, NA,296,4, NA,40, NA,2,8, NA, NA,4, NA,4,2, NA, NA
8/20/2014,2014,8,20, NA, NA,60,26, NA,1174, NA,260, NA, NA,204,1542,108, NA, NA,38, NA, NA,28, NA, NA, NA, NA, NA, NA,186,6, NA,40, NA,4,2, NA, NA,6, NA, NA,6, NA,2
8/21/2014,2014,8,21, NA, NA,36,26, NA,1118, NA,156, NA, NA,92,760,42, NA, NA,4, NA, NA,8, NA, NA, NA, NA, NA, NA,198,10,282,28, NA,10, NA, NA, NA,8,4, NA, NA, NA,22
8/22/2014,2014,8,22, NA, NA,64,24, NA,1216, NA,200, NA, NA,30,892,38, NA, NA,10, NA, NA,8, NA, NA, NA, NA, NA, NA,208,12,192,32, NA,6, NA, NA, NA,4, NA, NA,2, NA,2
8/25/2014,2014,8,25, NA, NA,26,18, NA,974, NA,112, NA, NA,72,1008,50, NA, NA,6, NA, NA,10, NA, NA, NA, NA, NA, NA,86,12, NA,28, NA,2,2, NA, NA, NA, NA,2, NA, NA, NA
8/26/2014,2014,8,26, NA, NA,6,10, NA,612, NA,119, NA, NA,66,966,63, NA, NA,16, NA, NA, NA, NA, NA, NA, NA, NA, NA,85,8,22,12, NA,4, NA, NA, NA, NA, NA, NA, NA, NA,18
8/27/2014,2014,8,27, NA, NA,38,16, NA,1284, NA,373, NA, NA,174,1004,97, NA, NA,18, NA, NA,8, NA, NA, NA, NA, NA, NA,247,10,64,28, NA,4, NA, NA, NA,8,12, NA,2, NA,2
8/28/2014,2014,8,28, NA, NA,144,8, NA,2047, NA,656, NA, NA,126,1087,164, NA, NA,18, NA, NA,2, NA, NA, NA, NA, NA, NA,352,4,40,8, NA,10, NA, NA, NA,2,2, NA,4, NA,16
8/29/2014,2014,8,29, NA, NA,22,6, NA,474, NA,118, NA, NA,40,562,34, NA, NA,26, NA, NA, NA, NA, NA, NA, NA, NA, NA,104,8,25,22, NA,2, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/1/2014,2014,7,1, NA, NA,74,54, NA,2752, NA,674, NA, NA,80,3208, NA, NA, NA,24, NA, NA,26, NA, NA, NA, NA, NA, NA,328,20,42,72, NA,4, NA, NA, NA,14,6, NA,8, NA, NA
7/3/2014,2014,7,3, NA, NA,66,140, NA,2150, NA,542, NA, NA,146,3244,78, NA, NA,28, NA, NA,24, NA, NA, NA, NA, NA, NA,528,16,44,60, NA, NA, NA, NA, NA,6, NA, NA, NA, NA,12
7/7/2014,2014,7,7, NA, NA,40,108, NA,7126, NA,822, NA, NA,48,2878, NA, NA, NA,32, NA, NA,20, NA, NA, NA, NA, NA, NA,98,8, NA, NA, NA,6, NA, NA, NA,2, NA, NA, NA, NA,10
7/8/2014,2014,7,8, NA, NA,40,55, NA,1073, NA,676, NA, NA,198,3260,26, NA, NA,16, NA, NA,14, NA, NA, NA, NA, NA, NA,188,16, NA,22, NA,16, NA, NA, NA, NA, NA, NA,2, NA,6
7/9/2014,2014,7,9, NA, NA, NA,24, NA,1268, NA,368, NA, NA,74,2268,12, NA, NA,12, NA, NA,8, NA, NA, NA, NA, NA, NA,40,12,55,16, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/10/2014,2014,7,10, NA, NA, NA,12, NA,1500, NA,578, NA, NA,72,2166,18, NA, NA,8, NA, NA,4, NA, NA, NA, NA, NA, NA,170,4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7/11/2014,2014,7,11, NA, NA,8,284, NA,1658, NA,602, NA, NA,144,10442,28, NA, NA,54, NA, NA,176, NA, NA, NA, NA, NA, NA,148,16,110,12, NA,30, NA, NA, NA,36,4, NA,4, NA,20
7/15/2014,2014,7,15, NA, NA,36,158, NA,2632, NA,580, NA, NA,220,4022,92, NA, NA,12, NA, NA,10, NA, NA, NA, NA, NA, NA,352,14,44,22, NA,10,4, NA, NA,4,2,4, NA, NA,8
7/16/2014,2014,7,16, NA, NA,12,72, NA,2106, NA,262, NA, NA,100,2324,24, NA, NA,8, NA, NA,38, NA, NA, NA, NA, NA, NA,154, NA,24,4, NA, NA,2, NA, NA,18, NA, NA, NA, NA,10
7/17/2014,2014,7,17, NA, NA,78,81, NA,1950, NA,900, NA, NA,144,5270,120, NA, NA,44, NA, NA,12, NA, NA, NA, NA, NA, NA,406,10, NA,32, NA,22, NA, NA, NA,20, NA,18, NA, NA,12
7/18/2014,2014,7,18, NA, NA,158,48, NA,3038, NA,402, NA, NA,174,3021,24, NA, NA,12, NA, NA, NA, NA, NA, NA, NA, NA, NA,454,6, NA,36, NA,4, NA, NA, NA,36,6,16,2, NA, NA
7/21/2014,2014,7,21, NA, NA,56,36, NA,3008, NA,1430, NA, NA,58,3498,72, NA, NA,12, NA, NA,8, NA, NA, NA, NA, NA, NA,158,12,113,52, NA, NA, NA, NA, NA,28,2,4, NA, NA,8
7/22/2014,2014,7,22, NA, NA,50,48, NA,763, NA,398, NA, NA,130,3362,86, NA, NA,18, NA, NA,6, NA, NA, NA, NA, NA, NA,238,6,146,48, NA,8,14, NA, NA,28,4,2,4, NA,8
7/23/2014,2014,7,23, NA, NA,12,52, NA,1478, NA,433, NA, NA,190,2566,38, NA, NA,16, NA, NA,18, NA, NA, NA, NA, NA, NA,68,12,18,44, NA, NA, NA, NA, NA,1010, NA, NA, NA, NA,4
7/24/2014,2014,7,24, NA, NA,86,74, NA,3812, NA,423, NA, NA,156,2344,16, NA, NA,12, NA, NA,20, NA, NA, NA, NA, NA, NA,194,4,180,28, NA, NA, NA, NA, NA,8, NA,14,2, NA,2
7/25/2014,2014,7,25, NA, NA, NA,26, NA,2023, NA,352, NA, NA,116,1118,24, NA, NA,18, NA, NA,28, NA, NA, NA, NA, NA, NA,66,4, NA,32, NA,6, NA, NA, NA,4, NA, NA, NA, NA,6
7/28/2014,2014,7,28, NA, NA,28,48, NA,3892, NA,502, NA, NA,200,1768,55, NA, NA,36, NA, NA,20, NA, NA, NA, NA, NA, NA,256,30, NA,34, NA,4, NA, NA, NA,12, NA,10, NA, NA,4
7/29/2014,2014,7,29, NA, NA, NA,304, NA,3092, NA,340, NA, NA,472,2566,261, NA, NA,66, NA, NA,104, NA, NA, NA, NA, NA, NA,274,36, NA,44, NA,16,4, NA, NA,32, NA,18, NA, NA,20
7/30/2014,2014,7,30, NA, NA,32,172, NA,5872, NA,688, NA, NA,180,2815,54, NA, NA,40, NA, NA,32, NA, NA, NA, NA, NA, NA,224,6,431,14, NA,16, NA, NA, NA,4, NA,6, NA, NA,12
7/31/2014,2014,7,31, NA, NA,56,44, NA,1952, NA,899, NA, NA,116,5792,118, NA, NA,45, NA, NA,2, NA, NA, NA, NA, NA, NA,284,2,112,28, NA, NA,4, NA, NA,16, NA,8, NA, NA,30
6/2/2014,2014,6,2, NA, NA,16,68, NA,814, NA,631, NA, NA,8,1879,4, NA, NA,16, NA, NA,2, NA, NA, NA, NA, NA, NA,93,12,40, NA, NA, NA, NA, NA, NA, NA, NA, NA,2, NA, NA
6/3/2014,2014,6,3, NA, NA,8,85, NA,413, NA,625, NA, NA,16,1271,2, NA, NA,24, NA, NA,4, NA, NA, NA, NA, NA, NA,107, NA,30,8, NA, NA, NA, NA, NA,6, NA, NA, NA, NA, NA
6/4/2014,2014,6,4, NA, NA,24,8, NA,793, NA,688, NA, NA, NA,1234,2, NA, NA,6, NA, NA,2, NA, NA, NA, NA, NA, NA,214, NA, NA, NA, NA,2,4, NA, NA,4,4, NA, NA, NA, NA
6/5/2014,2014,6,5, NA, NA, NA,52, NA,834, NA,818, NA, NA,52,2016,8, NA, NA,20, NA, NA,24, NA, NA, NA, NA, NA, NA,208,4,40,14, NA, NA, NA, NA, NA, NA, NA,2,2, NA, NA
6/9/2014,2014,6,9, NA, NA, NA,80, NA,603, NA,1020, NA, NA,24,1717,4, NA, NA, NA, NA, NA,20, NA, NA, NA, NA, NA, NA,129, NA, NA,6, NA, NA, NA, NA, NA,22,4, NA,4, NA, NA
6/10/2014,2014,6,10, NA, NA, NA,58, NA,704, NA,417, NA, NA,12,1300,2, NA, NA,4, NA, NA,18, NA, NA, NA, NA, NA, NA,151, NA, NA,8, NA, NA,6, NA, NA,4, NA, NA,2, NA, NA
6/11/2014,2014,6,11, NA, NA, NA,1053, NA,2051, NA,814, NA, NA,93,2958,28, NA, NA,97, NA, NA,40, NA, NA, NA, NA, NA, NA,230, NA, NA, NA, NA,4,4, NA, NA,34, NA, NA, NA, NA,4
6/12/2014,2014,6,12, NA, NA,56,346, NA,2002, NA,836, NA, NA,64,3100,14, NA, NA,30, NA, NA,22, NA, NA, NA, NA, NA, NA,240,12, NA,18, NA,2,8, NA, NA,12,2, NA,4, NA,10
6/13/2014,2014,6,13, NA, NA, NA,157, NA,1212, NA,787, NA, NA,44,3242,40, NA, NA,40, NA, NA,18, NA, NA, NA, NA, NA, NA,317, NA,198,34, NA,4,6, NA, NA,20, NA,4,2, NA,4
6/16/2014,2014,6,16, NA, NA, NA,64, NA,765, NA,376, NA, NA,48,2778,4, NA, NA,16, NA, NA,24, NA, NA, NA, NA, NA, NA,194,10, NA,4, NA, NA, NA, NA, NA,38, NA, NA, NA, NA,12
6/17/2014,2014,6,17, NA, NA, NA,93, NA,637, NA,330, NA, NA,12,2855,10, NA, NA,8, NA, NA,36, NA, NA, NA, NA, NA, NA,550,28, NA,16, NA, NA, NA, NA, NA,48,2,4, NA, NA,26
6/18/2014,2014,6,18, NA, NA,42,20, NA,676, NA,603, NA, NA,28,1531,6, NA, NA,6, NA, NA,8, NA, NA, NA, NA, NA, NA,124,10,126,18, NA,10,2, NA, NA,8, NA, NA, NA, NA,4
6/19/2014,2014,6,19, NA, NA,152,43, NA,3948, NA,747, NA, NA,146,1057,18, NA, NA,18, NA, NA,73, NA, NA, NA, NA, NA, NA,522,12, NA,24, NA, NA,8, NA, NA,26, NA, NA, NA, NA,12
6/20/2014,2014,6,20, NA, NA,45,20, NA,2038, NA,496, NA, NA,91,778,16, NA, NA,18, NA, NA,6, NA, NA, NA, NA, NA, NA,97, NA, NA,12, NA, NA, NA, NA, NA,4,4, NA, NA, NA,2
6/23/2014,2014,6,23, NA, NA,40,44, NA,666, NA,573, NA, NA,4,1150,14, NA, NA,20, NA, NA,24, NA, NA, NA, NA, NA, NA,120,12, NA,26, NA, NA, NA, NA, NA,22,4, NA,2, NA, NA
6/24/2014,2014,6,24, NA, NA,20, NA, NA,5854, NA,413, NA, NA,16,666,8, NA, NA,36, NA, NA, NA, NA, NA, NA, NA, NA, NA,283,10, NA, NA, NA, NA,4, NA, NA,4, NA, NA, NA, NA,6
6/25/2014,2014,6,25, NA, NA, NA,68, NA,6927, NA,710, NA, NA,40,852,24, NA, NA,26, NA, NA,16, NA, NA, NA, NA, NA, NA,137,22, NA, NA, NA, NA, NA, NA, NA,4, NA, NA, NA, NA,14
6/26/2014,2014,6,26, NA, NA, NA, NA, NA,3329, NA,1012, NA, NA,8,891,6, NA, NA,10, NA, NA,2, NA, NA, NA, NA, NA, NA,52,16, NA, NA, NA,2, NA, NA, NA, NA, NA, NA, NA, NA, NA
6/27/2014,2014,6,27, NA, NA, NA,93, NA,2835, NA,850, NA, NA,60,1174,36, NA, NA,32, NA, NA,6, NA, NA, NA, NA, NA, NA,129,28, NA,18, NA,4,4, NA, NA, NA, NA, NA, NA, NA, NA
6/30/2014,2014,6,30, NA, NA,72,36, NA,2691, NA,650, NA, NA,100,5710,42, NA, NA,24, NA, NA, NA, NA, NA, NA, NA, NA, NA,302,2, NA,26, NA,24, NA, NA, NA,26, NA,18, NA, NA,8
5/1/2014,2014,5,1, NA, NA,24,184, NA,601, NA,198, NA, NA,12,6453, NA, NA, NA,48, NA, NA,60, NA, NA, NA, NA, NA, NA,178, NA, NA,8, NA,4,14, NA, NA,34,2, NA,4, NA, NA
5/2/2014,2014,5,2, NA, NA, NA,200, NA,619, NA,400, NA, NA, NA,4821,8, NA, NA,28, NA, NA,99, NA, NA, NA, NA, NA, NA,336,10, NA,8, NA,4,4, NA, NA,50, NA, NA, NA, NA,12
5/5/2014,2014,5,5, NA, NA,122,110, NA,842, NA,602, NA, NA,20,3262,12, NA, NA,16, NA, NA,64, NA, NA, NA, NA, NA, NA,230,4, NA,2, NA, NA, NA, NA, NA,32,2,8, NA, NA,6
5/6/2014,2014,5,6, NA, NA,212,52, NA,912, NA,516, NA, NA,18,4002,10, NA, NA,26, NA, NA,96, NA, NA, NA, NA, NA, NA,110,4, NA, NA, NA, NA, NA, NA, NA,88, NA, NA, NA, NA,2
5/7/2014,2014,5,7, NA, NA,103,60, NA,712, NA,280, NA, NA,24,2163, NA, NA, NA,4, NA, NA,66, NA, NA, NA, NA, NA, NA,224,4, NA,12, NA,18, NA, NA, NA,12, NA, NA, NA, NA,8
5/8/2014,2014,5,8, NA, NA,182,87, NA,796, NA,209, NA, NA,36,2934,2, NA, NA,6, NA, NA,54, NA, NA, NA, NA, NA, NA,180,12, NA,10, NA, NA, NA, NA, NA,28, NA,10, NA, NA,4
5/9/2014,2014,5,9, NA, NA,48,28, NA,486, NA,158, NA, NA,58,3559,2, NA, NA,4, NA, NA,36, NA, NA, NA, NA, NA, NA,134,2, NA,4, NA, NA, NA, NA, NA,12, NA,22, NA, NA,8
5/12/2014,2014,5,12, NA, NA,32,60, NA,1050, NA,444, NA, NA, NA,2932,8, NA, NA,24, NA, NA,156, NA, NA, NA, NA, NA, NA,168,18, NA,14, NA, NA, NA, NA, NA,28, NA,36, NA, NA,10
5/13/2014,2014,5,13, NA, NA,38,42, NA,241, NA,142, NA, NA,24,1452,8, NA, NA,4, NA, NA,40, NA, NA, NA, NA, NA, NA,117,4, NA, NA, NA, NA, NA, NA, NA,26, NA, NA, NA, NA, NA
5/14/2014,2014,5,14, NA, NA,48,8, NA,628, NA,381, NA, NA,18,1057, NA, NA, NA,4, NA, NA,20, NA, NA, NA, NA, NA, NA,73,6, NA, NA, NA, NA, NA, NA, NA,12, NA,8, NA, NA, NA
5/15/2014,2014,5,15, NA, NA,76,50, NA,899, NA,273, NA, NA,46,4852,2, NA, NA,8, NA, NA,26, NA, NA, NA, NA, NA, NA,97,4, NA,8, NA,2, NA, NA, NA,12, NA,18, NA, NA, NA
5/16/2014,2014,5,16, NA, NA,34,200, NA,1260, NA,360, NA, NA,104,6216, NA, NA, NA,20, NA, NA,76, NA, NA, NA, NA, NA, NA,368, NA,24,2, NA, NA, NA, NA, NA,21, NA,24, NA, NA, NA
5/19/2014,2014,5,19, NA, NA,4,194, NA,704, NA,296, NA, NA,50,2900,8, NA, NA,16, NA, NA,60, NA, NA, NA, NA, NA, NA,62, NA, NA,6, NA, NA,4, NA, NA,22,2,12, NA, NA,18
5/20/2014,2014,5,20, NA, NA,18,134, NA,1069, NA,188, NA, NA,36,2132,8, NA, NA,12, NA, NA,126, NA, NA, NA, NA, NA, NA,109, NA,22,44, NA, NA, NA, NA, NA,54,2,18,2, NA, NA
5/21/2014,2014,5,21, NA, NA,20,117, NA,616, NA,206, NA, NA,73,1284,8, NA, NA,40, NA, NA,115, NA, NA, NA, NA, NA, NA,86,2, NA,12, NA, NA,4, NA, NA,90, NA,22, NA, NA,16
5/22/2014,2014,5,22, NA, NA, NA,108, NA,348, NA,115, NA, NA,32,751,8, NA, NA,12, NA, NA,38, NA, NA, NA, NA, NA, NA,78,4, NA,10, NA, NA, NA, NA, NA,20, NA,2, NA, NA,2
5/23/2014,2014,5,23, NA, NA,109,116, NA,2312, NA,198, NA, NA,40,806,10, NA, NA,14, NA, NA,46, NA, NA, NA, NA, NA, NA,104,10, NA,8, NA, NA, NA, NA, NA,22, NA, NA, NA, NA, NA
5/29/2014,2014,5,29, NA, NA, NA,30, NA,1409, NA,221, NA, NA, NA,1742, NA, NA, NA, NA, NA, NA,10, NA, NA, NA, NA, NA, NA, NA,4,239,6, NA, NA, NA, NA, NA, NA, NA,6, NA, NA,6
5/30/2014,2014,5,30, NA, NA,24,166, NA,1539, NA,543, NA, NA,156,6974,8, NA, NA,56, NA, NA,36, NA, NA, NA, NA, NA, NA,142,2,296,14, NA,4,2, NA, NA,10, NA,18, NA, NA,6
4/1/2014,2014,4,1, NA, NA,8,52, NA,376, NA,93, NA, NA, NA,793,8, NA, NA,4, NA, NA,40, NA, NA, NA, NA, NA, NA,120, NA, NA, NA, NA,2, NA, NA, NA,4,2, NA,2, NA,4
